;Hits;Percentage;Max_TPM;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/css/screen.css;646;0.1810492448340709;4;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/css/screen.country.css;624;0.1748834810781118;4;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/js/tfs-root-v2.0.0.js;622;0.17432295710029735;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/mm_sprites.png;590;0.16535457345526597;5;;;
/servlets/2452328105705Dispatch/37/jspforward?xxx;558;0.1563861898102346;19;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/products-carousel-bg.png;528;0.1479783301430177;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/css/screen.css;511;0.14321387633159477;5;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/js/script.js;506;0.14181256638705864;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/js/swfobject.js;500;0.14013099445361524;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/css/ui.stars.css;494;0.13844942252017187;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/js/tfs-root-v2.0.0.js;493;0.13816916053126463;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/pop150.jpg;485;0.13592706462000678;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/css/screen.country.css;485;0.13592706462000678;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/js/tfs-v1.0.0.js;484;0.13564680263109954;4;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/js/jquery.ui.stars.js;479;0.1342454926865634;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/eighties150.jpg;479;0.1342454926865634;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/js/jq.tooltip.js;474;0.13284418274202725;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/indie150.jpg;473;0.13256392075312;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/radio_Dance150.jpg;470;0.13172313478639833;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/css/tfs-shop-functionhooks-1.0.0.css;470;0.13172313478639833;4;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/js/jquery.fancybox.js;469;0.1314428727974911;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/css/autocomplete.css;469;0.1314428727974911;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/fancybox/jquery.fancybox-1.3.4.css;468;0.13116261080858388;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/css/jquery-ui-1.8.7.custom.css;467;0.13088234881967664;7;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/jazz150.jpg;467;0.13088234881967664;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/klassik150.jpg;464;0.13004156285295496;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/css/tfs-patches-1.0.0.css;462;0.12948103887514048;5;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/tfs_ico/new-ajax-loader.gif;461;0.12920077688623324;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/Radio_House150.jpg;450;0.1261178950082537;5;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/electronica150.jpg;448;0.12555737103043926;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/hiphop150.jpg;446;0.12499684705262479;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/hitradio150.jpg;446;0.12499684705262479;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/90s_150.jpg;443;0.1241560610859031;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/classicrock150.jpg;442;0.12387579909699586;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/latin150.jpg;440;0.12331527511918142;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/alternative150.jpg;439;0.12303501313027418;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/50s150.jpg;437;0.12247448915245973;5;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/minimal150.jpg;433;0.12135344119683081;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/ChillOut150.jpg;431;0.12079291721901633;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/metal150.jpg;426;0.11939160727448019;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/70s150.jpg;426;0.11939160727448019;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/rnb150.jpg;424;0.11883108329666572;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/reggae150.jpg;424;0.11883108329666572;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/60s150.jpg;422;0.11827055931885126;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/prelisten.png;422;0.11827055931885126;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/wishlist.png;419;0.11742977335212958;4;;;
/favicon.ico;417;0.1168692493743151;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/fancybox/jquery.fancybox-1.3.4.pack.js;415;0.11630872539650065;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/js/jquery.ui.stars.js;410;0.1149074154519645;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/soul150.jpg;407;0.11406662948524281;5;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/tooltip/tt_left.png;404;0.11322584351852111;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/tfs_ico/new-ajax-loader.gif;398;0.11154427158507772;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/js/script.js;379;0.10621929379584034;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/tooltip/tt_bottom.png;360;0.10089431600660297;4;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/tooltip/tt_tail.png;284;0.07959440484965345;4;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/tooltip/tipp_bg.gif;274;0.07679178496058114;4;;;
/;268;0.07511021302713777;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/rating.gif;267;0.07482995103823054;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/tfs_ico/new-ajax-loader@2x.gif;246;0.0689444492711787;4;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/smalltooltip_left.jpg;242;0.06782340131554977;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/tooltip/tt_tail.png;241;0.06754313932664255;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/pop640.jpg;236;0.06614182938210639;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/bg_gradient_138.gif;235;0.06586156739319916;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/hitradio640.jpg;232;0.06502078142647748;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/hitradio128.jpg;226;0.0633392094930341;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/tfs_ico/new-ajax-loader@2x.gif;218;0.06109711358177624;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/pop128.jpg;216;0.06053658960396178;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/ChillOut128.jpg;215;0.060256327615054554;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/bg_gradient_138.gif;212;0.05941554164833286;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/rating.gif;210;0.0588550176705184;4;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/ChillOut640.jpg;206;0.05773396971488948;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/layout/ajax-loader.gif;205;0.05745370772598225;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/tooltip/tipp_bg.gif;203;0.05689318374816779;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/neue_zahlen/5.gif;193;0.054090563859095483;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/tooltip/tt_tail@2x.png;192;0.05381030187018825;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/neue_zahlen/2.gif;192;0.05381030187018825;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/neue_zahlen/0.gif;191;0.05353003988128102;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/neue_zahlen/4.gif;189;0.05296951590346656;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/minimal128.jpg;188;0.052689253914559336;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/neue_zahlen/1.gif;183;0.051287943970023175;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/smalltooltip_left.jpg;182;0.051007681981115945;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/tooltip/tt_tail@2x.png;179;0.05016689601439426;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ads/saturn_RightTab_baner.jpg;179;0.05016689601439426;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/tooltip/tt_left.png;178;0.04988663402548702;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ads/mm_wls_widget_musik_how_to.png;164;0.0459629661807858;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/neue_zahlen/5.gif;163;0.04568270419187857;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/radio_Dance640.jpg;163;0.04568270419187857;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/user_functions.js;162;0.04540244220297134;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/247e.js;162;0.04540244220297134;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/mm_sprites.png;159;0.04456165623624964;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/pl/Serien_Songs_Juke.jpg;159;0.04456165623624964;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/neue_zahlen/1.gif;158;0.04428139424734241;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ads/mm_wls_wigdet_vorteile_right_tab_120605@2x.png;157;0.04400113225843518;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/stage/2x4_buehne_948x272_herbstpower.jpg;157;0.04400113225843518;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/fancybox/blank.gif;156;0.04372087026952795;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ads/mm_wls_wigdet_vorteile_right_tab_120605.png;152;0.042599822313899034;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ads/mm_wls_widget_musik_how_to@2x.png;152;0.042599822313899034;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/neue_zahlen/3.gif;150;0.04203929833608457;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/tooltip/tipp_border.png;150;0.04203929833608457;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/stage/2x4_buehne_948x272_nice_price.jpg;149;0.04175903634717734;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/tooltip/tipp_bottom.png;148;0.04147877435827011;3;;;
/servlets/2452685121527Dispatch/34/@2x.;147;0.04119851236936288;4;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/neue_zahlen/0.gif;147;0.04119851236936288;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/neue_zahlen/2.gif;146;0.04091825038045565;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/jwplayer/jwplayer.js;145;0.04063798839154842;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/stage/neu2x4_buehne_948x272_rockin-stuff.jpg;143;0.04007746441373396;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/css/theme.css;141;0.039516940435919495;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/neue_zahlen/4.gif;139;0.038956416458105034;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/jquery.min.js;138;0.0386761544691978;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/btn/icon_memo.gif;135;0.03783536850247612;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/custom.js;135;0.03783536850247612;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/tooltip/tipp_top.png;133;0.037274844524661656;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ads/saturn_RightTab_baner@2x.jpg;133;0.037274844524661656;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/css/screen.css;133;0.037274844524661656;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/pl/Voice_of_germany_2.jpg;132;0.036994582535754425;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/tooltip/tt_bottom_right.png;132;0.036994582535754425;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/pl/GTA_V_-_Juke.jpg;131;0.036714320546847194;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/neue_zahlen/3.gif;131;0.036714320546847194;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/tooltip/tipp_border.png;130;0.03643405855793996;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/btn/icon_memo.gif;128;0.0358735345801255;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/jwplayer/swfobject22.js;126;0.03531301060231104;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/stars/ui.stars.gif;124;0.03475248662449658;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/tooltip/tt_bottom.png;124;0.03475248662449658;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/latin128.jpg;123;0.03447222463558935;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/ico_tbl_basket_red.gif;123;0.03447222463558935;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/delta_up.png;122;0.03419196264668212;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/ico_tbl_listen_red.gif;121;0.033911700657774886;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/radio_Dance128.jpg;121;0.033911700657774886;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/wishlist.png;120;0.033631438668867655;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/player_functions.js;119;0.033351176679960425;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/playlist_functions.js;119;0.033351176679960425;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/btn/icon_listen.gif;118;0.033070914691053194;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/delta_down.png;118;0.033070914691053194;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/layout/spacer.gif;118;0.033070914691053194;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/tooltip/tipp_top.png;116;0.03251039071323874;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/bg_gradient_236.gif;116;0.03251039071323874;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/delta_up.png;116;0.03251039071323874;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/bg_gradient_236.gif;115;0.03223012872433151;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/ico_tbl_memo_red.gif;115;0.03223012872433151;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/css/247theme.css;115;0.03223012872433151;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/misclibs.js;115;0.03223012872433151;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/css/247.css;114;0.03194986673542428;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/hiphop128.jpg;114;0.03194986673542428;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/btn/icon_listen.gif;113;0.03166960474651705;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/prelisten.png;113;0.03166960474651705;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/70s128.jpg;113;0.03166960474651705;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/tooltip/tipp_bottom.png;111;0.031109080768702585;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/pl/2013_05_NeuBeiJuke_gruen.jpg;108;0.03026829480198089;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/encoder.js;106;0.02970777082416643;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/js/jquery-ui-1.8.12.custom.js;105;0.0294275088352592;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/indie128.jpg;105;0.0294275088352592;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/stars/ui.stars.gif;105;0.0294275088352592;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/bg_tracklist_td.gif;104;0.02914724684635197;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/bg_tracklist_td.gif;103;0.02886698485744474;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/50s128.jpg;103;0.02886698485744474;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/eighties128.jpg;101;0.028306460879630277;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/delta_down.png;100;0.02802619889072305;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/ico_tbl_listen_red.gif;99;0.02774593690181582;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/90s_128.jpg;99;0.02774593690181582;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/bg_check_navi_steps.gif;98;0.027465674912908588;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/images/emptybox3.png;96;0.026905150935094126;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/bg_check_navi_step_li.gif;95;0.0266248889461869;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/swf/247.AudioPlayer.swf;95;0.0266248889461869;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/layout/ajax-loader-dark.gif;95;0.0266248889461869;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/ico_tbl_basket_red.gif;94;0.026344626957279668;2;;;
/servlets/2452328105705Dispatch/3/Call?xxx;93;0.026064364968372437;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/images/saved_check.png;93;0.026064364968372437;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/60s128.jpg;91;0.025503840990557972;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/metal128.jpg;91;0.025503840990557972;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/minimal640.jpg;91;0.025503840990557972;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/bg_check_navi.gif;90;0.02522357900165074;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/90s_640.jpg;90;0.02522357900165074;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/soul128.jpg;90;0.02522357900165074;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/bg_check_navi_step_li_hl.gif;89;0.02494331701274351;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/images/logo.png;88;0.02466305502383628;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/delta_new.png;86;0.02410253104602182;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/hiphop640.jpg;86;0.02410253104602182;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/images/logo_juke_small.png;86;0.02410253104602182;3;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/ico/ico_tbl_memo_red.gif;85;0.02382226905711459;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/70s640.jpg;85;0.02382226905711459;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/eighties640.jpg;84;0.02354200706820736;3;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/bg_gradient_44.gif;83;0.02326174507930013;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/jazz128.jpg;83;0.02326174507930013;1;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/classicrock128.jpg;82;0.0229814830903929;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/60s640.jpg;81;0.02270122110148567;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/images/main_left_head_home.png;80;0.022420959112578437;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/smalltooltip_right.jpg;80;0.022420959112578437;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/layout/icon_twitter.png;80;0.022420959112578437;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/delta_zero.png;79;0.022140697123671206;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/layout/down_arrow.png;78;0.021860435134763975;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/electronica128.jpg;78;0.021860435134763975;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/ico/ico_del_red.gif;77;0.021580173145856748;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/reggae128.jpg;77;0.021580173145856748;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/stage/neu2x4_buehne_948x272_rockin-stuff@2x.jpg;77;0.021580173145856748;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/stage/2x4_buehne_948x272_herbstpower@2x.jpg;76;0.021299911156949517;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/content/PhilipsFidelio_logo.png;76;0.021299911156949517;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/rnb128.jpg;76;0.021299911156949517;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/pl/2013_05_NeuBeiJuke_pinkoran.jpg;76;0.021299911156949517;2;;;
/hostshops/247/type_c/sites/saturn-downloadde2453623120137/public/img/bg/bg_check_navi_right.gif;75;0.021019649168042286;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/alternative128.jpg;75;0.021019649168042286;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/content/sonos.png;75;0.021019649168042286;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/indie640.jpg;74;0.020739387179135056;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/stage/2x4_buehne_948x272_nice_price@2x.jpg;72;0.020178863201320597;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/pl/Kundigung_PL_Juke.jpg;71;0.019898601212413363;2;;;
/hostshops/247/type_c/sites/mediamarktat23452366012/public/js/swfobject.js;70;0.019618339223506132;3;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/Radio_House128.jpg;70;0.019618339223506132;1;;;
/hostshops/247/type_c/sites/mediamarktat23452366012/public/js/tfs-v1.0.0.js;69;0.0193380772345989;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/content/noflash.png;69;0.0193380772345989;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/radio/klassik128.jpg;69;0.0193380772345989;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/layout/icon_google.png;69;0.0193380772345989;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/images/body_bg.png;69;0.0193380772345989;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/layout/icon_data_cancel.png;68;0.019057815245691674;2;;;
/hostshops/247/type_c/sites/mediamarktat23452366012/public/img/bg/smalltooltip_left.jpg;68;0.019057815245691674;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/mediamarkt_logo.png;67;0.018777553256784443;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/images/content/dolby_pulse_white_small.png;66;0.018497291267877213;2;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/img/bg/tooltip/tt_bottom_right.png;65;0.01821702927896998;2;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/themes/teal/images/favicon.ico;65;0.01821702927896998;2;;;
